recorded_at,asset_id,market,outcome,size,average_price
2025-12-24T13:13:47.136847+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8316.5628,0.6974
2025-12-24T13:13:47.137022+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8287.8959,0.293
2025-12-24T13:13:47.137089+00:00,114455353002455798540301059548285066786371763449417202709804466763877845855736,eth-updown-15m-1766581200,Down,2122.4193,0.6262
2025-12-24T13:13:47.137143+00:00,29449204934670796679348416648297836559626778688713727899280975036876168333710,eth-updown-15m-1766581200,Up,2116.4561,0.3575
2025-12-24T13:13:47.137193+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1553.0318,0.5948
2025-12-24T13:13:47.137241+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1454.7121,0.4138
2025-12-24T13:13:47.137289+00:00,43511288291430764208895496917291024246187904409577204278046688831095495767586,ethereum-up-or-down-december-24-8am-et,Down,312.4889,0.6515
2025-12-24T13:13:47.137340+00:00,66869989977215855115584537496160479290976116226406202772590971052894806105396,ethereum-up-or-down-december-24-8am-et,Up,243.1734,0.3299
2025-12-24T13:13:47.137393+00:00,14091474066913197729641967807307354311001549692738669537454051239915390936153,ethereum-up-or-down-december-24-7am-et,Down,117.8664,0.2983
2025-12-24T13:13:47.137439+00:00,42158717272152512829590687653971839204443922760781244091265703185246498377177,bitcoin-up-or-down-december-24-6am-et,Down,48.3055,0.236
2025-12-24T13:13:47.137482+00:00,11895376756022161229226024883088432774805807641614752819160076612922318434959,bitcoin-up-or-down-december-24-7am-et,Down,47.4275,0.3846
2025-12-24T13:13:47.137524+00:00,47497326853329207419913734857905141135821669056395854868188073667511618638692,ethereum-up-or-down-december-24-6am-et,Down,27.7283,0.5247
2025-12-24T13:13:47.137566+00:00,64485409345784576848662970562316324729763372567156390914000317042047367221171,eth-updown-15m-1766580300,Down,14.7111,0.3784
2025-12-24T13:13:47.137605+00:00,16568501516876455024403561364889771937529807394778384605123578794829652239663,btc-updown-15m-1766580300,Up,13.3161,0.534
2025-12-24T13:13:47.257762+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8338.5628,0.6980136788944014
2025-12-24T13:13:47.382954+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8360.5628,0.6986491264344071
2025-12-24T13:13:47.387499+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8382.5628,0.6992563058066205
2025-12-24T13:13:47.394034+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8404.5628,0.699860306442115
2025-12-24T13:13:47.401420+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8426.5628,0.7004872611546906
2025-12-24T13:13:47.409351+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1476.7121,0.4132964489015835
2025-12-24T13:13:47.448615+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8448.5628,0.7011369906275657
2025-12-24T13:13:47.452486+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1498.7121,0.412807681328522
2025-12-24T13:13:47.456896+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8470.5628,0.7017833451066557
2025-12-24T13:13:47.460780+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1520.7121,0.4121883865986205
2025-12-24T13:13:47.464720+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1535.7121,0.41177631339884607
2025-12-24T13:13:47.469057+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8492.5628,0.702426350820744
2025-12-24T13:13:47.473477+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1569.3817999999999,0.5951667176464007
2025-12-24T13:13:47.477280+00:00,66869989977215855115584537496160479290976116226406202772590971052894806105396,ethereum-up-or-down-december-24-8am-et,Up,257.1734,0.3320829629347358
2025-12-24T13:13:47.481114+00:00,66869989977215855115584537496160479290976116226406202772590971052894806105396,ethereum-up-or-down-december-24-8am-et,Up,271.1734,0.3345567989338187
2025-12-24T13:13:47.486147+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8309.8959,0.29243609401893955
2025-12-24T13:13:47.490108+00:00,114455353002455798540301059548285066786371763449417202709804466763877845855736,eth-updown-15m-1766581200,Down,2137.4193,0.6281916541410476
2025-12-24T13:13:47.495502+00:00,114455353002455798540301059548285066786371763449417202709804466763877845855736,eth-updown-15m-1766581200,Down,2142.4193,0.6288493413310831
2025-12-24T13:13:47.500144+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8514.5628,0.7030660337275332
2025-12-24T13:13:47.504743+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8536.5628,0.7037024195171385
2025-12-24T13:13:47.509603+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1557.7121,0.4116099932587029
2025-12-24T13:13:47.513234+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8331.8959,0.2918751659751294
2025-12-24T13:13:47.516968+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8353.8959,0.2913171923413602
2025-12-24T13:13:47.521115+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8375.8959,0.29076214983760734
2025-12-24T13:13:47.526482+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8397.8959,0.2902100154277932
2025-12-24T13:13:47.530213+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1579.7121,0.41144830566278495
2025-12-24T13:13:47.533595+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8419.8959,0.2896607663166003
2025-12-24T13:13:47.537262+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8441.8959,0.28911437994633427
2025-12-24T13:13:47.543187+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8463.8959,0.28862281951033936
2025-12-24T13:13:47.546926+00:00,114455353002455798540301059548285066786371763449417202709804466763877845855736,eth-updown-15m-1766581200,Down,2156.4193,0.630674639973775
2025-12-24T13:13:47.551453+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1591.3817999999999,0.5953717798205309
2025-12-24T13:13:47.558226+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1613.3817999999999,0.5955712495579163
2025-12-24T13:13:47.563177+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8557.5628,0.7043804454137338
2025-12-24T13:13:47.566854+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1635.3817999999999,0.5958998777166287
2025-12-24T13:13:47.570458+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8578.5628,0.7050551517463973
2025-12-24T13:13:47.575197+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1637.6417999999999,0.5959331366847134
2025-12-24T13:13:47.579060+00:00,114455353002455798540301059548285066786371763449417202709804466763877845855736,eth-updown-15m-1766581200,Down,2170.4193,0.6328634129174948
2025-12-24T13:13:47.584084+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8484.8959,0.2880322313323846
2025-12-24T13:13:47.588954+00:00,114455353002455798540301059548285066786371763449417202709804466763877845855736,eth-updown-15m-1766581200,Down,2184.4193,0.6350241300559832
2025-12-24T13:13:47.592524+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1580.8921,0.4114397604871325
2025-12-24T13:13:47.596925+00:00,114455353002455798540301059548285066786371763449417202709804466763877845855736,eth-updown-15m-1766581200,Down,2198.4193,0.6370299631467027
2025-12-24T13:13:47.600559+00:00,55791127387894991495647773577557657062519416327423065717239833358909110657454,btc-updown-15m-1766581200,Up,8504.8959,0.2874724779053441
2025-12-24T13:13:47.604368+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8598.5628,0.7056248861402744
2025-12-24T13:13:47.608601+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8618.5628,0.7061919763141946
2025-12-24T13:13:47.615401+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8638.5628,0.7067564406338516
2025-12-24T13:13:47.619510+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8658.5628,0.7073182972952508
2025-12-24T13:13:47.623252+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1653.4717999999998,0.5959720720002604
2025-12-24T13:13:47.627439+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8677.5628,0.7079153488488725
2025-12-24T13:13:47.631300+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8696.5628,0.708509791560408
2025-12-24T13:13:47.635010+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8715.5628,0.7091016424917503
2025-12-24T13:13:48.301323+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8734.5628,0.7096909185563356
2025-12-24T13:13:48.303566+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8753.5628,0.7102776365207545
2025-12-24T13:13:48.306036+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8772.5628,0.7108618130063427
2025-12-24T13:13:49.336490+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8791.5628,0.7114434644907498
2025-12-24T13:13:49.338180+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8810.5628,0.7120226073094896
2025-12-24T13:13:49.339618+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8829.5628,0.7125992576574682
2025-12-24T13:13:50.375571+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8848.5628,0.7131734315904947
2025-12-24T13:13:50.377139+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8867.5628,0.7137451450267707
2025-12-24T13:13:50.378936+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8886.5628,0.7143144137483614
2025-12-24T13:13:51.412409+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8905.5628,0.7148812534026481
2025-12-24T13:13:51.413972+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8924.5628,0.7154456795037619
2025-12-24T13:13:51.415399+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8943.5628,0.7160077074339989
